Glade,glade_area,Metrics,Value,BTS
Glade5,647.44, γ S PIE,3.089602705,D) Total
Glade6,776.92, γ S PIE,3.792951542,D) Total
Glade8,6215.4, γ S PIE,4.810533803,D) Total
Glade9,1553.85, γ S PIE,4.48800738,D) Total
Glade11,1812.82,β S PIE,0.8738781339,F) Beta
Glade12,2330.77,β S PIE,1.030140546,F) Beta
Glade13,3625.65,β S PIE,1.140581212,F) Beta
Glade14,2945.84,β S PIE,1.158528852,F) Beta
Glade15,2622.12,β S PIE,1.039652716,F) Beta
Glade16,2330.77,β S PIE,0.9816112637,F) Beta
Glade17,4920.52,β S PIE,1.236722092,F) Beta
Glade18,2330.77,β S PIE,0.8597482966,F) Beta
Glade19,3237.19,β S PIE,0.8714184399,F) Beta
Glade20,226.6,β S PIE,2.597222222,F) Beta
Glade21,10488.49,β S PIE,1.15367887,F) Beta
Glade22,582.69,β S PIE,0.9434145422,F) Beta
Glade23,971.16,β S PIE,0,F) Beta
Glade24,226.6,β S PIE,0.9659426639,F) Beta
Glade25,1812.82,β S PIE,0.8407234365,F) Beta
Glade25S,582.69,β S PIE,1.614035088,F) Beta
Glade26,5179.5,β S PIE,1.231105181,F) Beta
Glade27,2913.47,β S PIE,0.9283113991,F) Beta
Glade27W,1748.08,β S PIE,0.7282194028,F) Beta
Glade28,793.11,β S PIE,1.183171899,F) Beta
Glade29,1812.82,β S PIE,1.431447922,F) Beta
Glade30,582.69,β S PIE,2.805194805,F) Beta
Glade31,776.92,β S PIE,1.016126943,F) Beta
Glade4,517.95,β S PIE,0.8107464495,F) Beta
Glade5,647.44,β S PIE,0.7943400398,F) Beta
Glade6,776.92,β S PIE,1.12458797,F) Beta
Glade8,6215.4,β S PIE,0,F) Beta
Glade9,1553.85,β S PIE,1.168676735,F) Beta
Glade4,517.95, γ Sn,4.513,D) Total
Glade5,647.44, γ Sn,6.818,D) Total
Glade6,776.92, γ Sn,4.383,D) Total
Glade8,6215.4, γ Sn,9.066,D) Total
Glade9,1553.85, γ Sn,5.248,D) Total
Glade11,1812.82, γ Sn,5.497,D) Total
Glade12,2330.77, γ Sn,5.606,D) Total
Glade13,3625.65, γ Sn,4.298,D) Total
Glade14,2945.84, γ Sn,4.678,D) Total
Glade15,2622.12, γ Sn,8.179,D) Total
Glade16,2330.77, γ Sn,6.769,D) Total
Glade17,4920.52, γ Sn,6.745,D) Total
Glade18,2330.77, γ Sn,5.971,D) Total
Glade19,3237.19, γ Sn,3.63,D) Total
Glade20,226.6, γ Sn,4.06,D) Total
Glade21,10488.49, γ Sn,7.348,D) Total
Glade22,582.69, γ Sn,5.885,D) Total
Glade23,971.16, γ Sn,4.536,D) Total
Glade24,226.6, γ Sn,3.845,D) Total
Glade25,1812.82, γ Sn,5.085,D) Total
Glade26,5179.5, γ Sn,5.417,D) Total
Glade27,2913.47, γ Sn,6.879,D) Total
Glade28,793.11, γ Sn,5.042,D) Total
Glade29,1812.82, γ Sn,3.254,D) Total
Glade30,582.69, γ Sn,1.676,D) Total
Glade31,776.92, γ Sn,6.219,D) Total
Glade25S,582.69, γ Sn,4.209,D) Total
Glade27W,1748.08, γ Sn,5.545,D) Total
Glade4,517.95,α Sn,3.489125,E) Local
Glade5,647.44,α Sn,5.0398,E) Local
Glade6,776.92,α Sn,3.440333333,E) Local
Glade8,6215.4,α Sn,7.129045455,E) Local
Glade9,1553.85,α Sn,4.6288,E) Local
Glade11,1812.82,α Sn,6.841888889,E) Local
Glade12,2330.77,α Sn,5.075333333,E) Local
Glade13,3625.65,α Sn,3.446,E) Local
Glade14,2945.84,α Sn,4.656571429,E) Local
Glade15,2622.12,α Sn,5.062428571,E) Local
Glade16,2330.77,α Sn,5.314333333,E) Local
Glade17,4920.52,α Sn,5.457571429,E) Local
Glade18,2330.77,α Sn,5.77185,E) Local
Glade19,3237.19,α Sn,3.979545455,E) Local
Glade20,226.6,α Sn,3.63,E) Local
Glade21,10488.49,α Sn,7.12674359,E) Local
Glade22,582.69,α Sn,4.77,E) Local
Glade23,971.16,α Sn,3.021714286,E) Local
Glade24,226.6,α Sn,3.796142857,E) Local
Glade25,1812.82,α Sn,4.0579,E) Local
Glade26,5179.5,α Sn,5.417055556,E) Local
Glade27,2913.47,α Sn,4.718916667,E) Local
Glade28,793.11,α Sn,5.403857143,E) Local
Glade29,1812.82,α Sn,2.6948,E) Local
Glade30,582.69,α Sn,0.78,E) Local
Glade31,776.92,α Sn,5.11375,E) Local
Glade25S,582.69,α Sn,3.035714286,E) Local
Glade27W,1748.08,α Sn,4.467714286,E) Local
