frag_id,sample_id,frag_size_char,frag_size_num,sample_eff,sample_design,Adonis cupaniana,Aegilops geniculata,Ainsworthia trachycarpa,Alcea acaulis,Allium ampeloprasum,Allium daninianum,Alyssum minus,Anagallis arvensis,Anchusa aegyptiaca,Andropogon distachyos,Anthyllis tetraphylla,Antirrhinum orontium,Arisarum vulgare,Artedia squamata,Asteriscus aquaticus,Atractylis cancellata,Atractylis comosa,Avena sterilis,Avena wiestii,Bellevalia flexuosa,Beta vulgaris,Biscutella didyma,Brachypodium distachyon,Bromus alopecuros caroli-henrici,Bromus fasciculatus,Bromus lanceolatus,Bromus madritensis,Bromus scoparius,Calendula arvensis,Callipeltis cucullaria,Campanula erinus,Carduus argentatus,Carlina curetum orientalis,Carthamus tenuis foliosus,Catananche lutea,Centaurea crocodylium,Centaurea hyalolepis,Centaurea verutum,Convolvulus althaeoides,Convolvulus betonicifolius,Convolvulus dorycnium,Convolvulus humilis,Convolvulus siculus,Coronilla scorpioides,Crepis sancta,Crucianella macrostachya,Crupina crupinastrum,Cynodon dactylon,Daucus aureus,Daucus carota maximus,Delphinium peregrinum,Dianthus strictus,Dicotelydone,Echinops adenocaulos,Echium judaeum,Erodium cicutarium,Erodium gruinum,Erodium laciniatum,Erodium malacoides,Erucaria boveana (E.rostrata),Eryngium creticum,Euphorbia chamaepeplus,Euphorbia exigua,Euphorbia oxyodonta,Ferula communis,Filago palaestina,Filago pyramidata,Foeniculum vulgare,Gagea reticulata,Galium divaricatum,Galium judaicum,Galium murale,Geranium dissectum,Geranium molle,Geropogon hybridus,Gundelia tournefortii,Gynandriris sisyrinchium,Hedypnois cretica,Helianthemum aegyptiacum,Helianthemum lasiocarpum,Helianthemum salicifolium,Heliotropium rotundifolium,Hippocrepis unisiliquosa,Hordeum bulbosum,Hymenocarpos circinnatus,Hyparrhenia hirta,Isatis lusitanica,Kickxia aegyptiaca,Lagoecia cuminoides,Lathyrus blepharicarpos,Lathyrus hierosolymitanus,Lathyrus ochrus,Linaria micrantha,Linum corymbulosum,Linum nodiflorum,Linum pubescens,Linum strictum,Lolium rigidum,Lomelosia prolifera,Lophochloa cristata,Lotus conjugatus,Malva parviflora,Medicago coronata,Medicago orbicularis,Medicago polymorpha,Medicago rotata,Medicago scutellata,Medicago truncatula,Medicago tuberculata,Melilotus sulcatus,Mercurialis annua,Moluccella laevis,Nigella ciliaris,Nigella nigellastrum,Notobasis syriaca,Onobrychis caput-galli,Onobrychis crista-galli,Onobrychis squarrosa,Ononis alopecuroides,Ononis antiquorum,Ononis hirta,Ononis mitissima,Ononis mollis,Ononis ornithopodioides,Ononis sicula,Ononis viscosa breviflora,Onosma gigantea,Ornithogalum narbonense,Parapholis incurva,Phagnalon rupestre,Phalaris brachystachys,Picris altissima,Picris galilaea,Pimpinella cretica,Plantago afra,Plantago albicans,Plantago cretica,Polycarpon tetraphyllum,Psoralea (=bituminaria) bituminosa,Pterocephalus brevis,Ranunculus asiaticus,Rapistrum rugosum,Rhagadiolus stellatus,Rhamnus lycioides,Ridolfia segetum,Salvia horminum,Salvia pinnata,Scilla autumnalis,Scolymus maculatus,Scorpiurus muricatus,Scrophularia xanthoglossa,Sedum pallidum,Sherardia arvensis,Silybum marianum,Sinapis alba,Sinapis arvensis,Sinapis_or_Rapistrum,Sonchus oleraceus,Stachys neurocalycina,Stipa capensis,Tetragonolobus requienii,Teucrium capitatum,Theligonum cynocrambe,Thesium humile,Thrincia tuberosa,Tolpis virgata,Tordylium aegyptiacum,Torilis tenella,Trifolium alexandrinum,Trifolium campestre,Trifolium cherleri,Trifolium clypeatum,Trifolium dasyurum,Trifolium purpureum,Trifolium scabrum,Trifolium stellatum,Trifolium tomentosum,Velezia rigida,Veronica cymbalaria,Vicia palaestina,Vicia peregrina,Vicia sativa,Vulpia ciliata,Vulpia myuros,Ziziphora capitata
Galon_57,1,0.8625,0.8625,1,standardized_subsamples,0,0,0,0,0,1,0,9,0,0,0,0,0,0,1,0,0,1,0,0,0,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galon_57,2,0.8625,0.8625,1,standardized_subsamples,0,0,0,0,0,0,0,3,0,0,0,0,0,0,48,0,0,1,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galon_82,1,1.5414,1.5414,1,standardized_subsamples,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,1,340,0,0,0,15,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0,2,0,3,0,3,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,3,0,2,12,0,0,0,0,0,0,0,0,0,8,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,19,0,0,0,0,0,0,0,0,0,0,0
Galon_82,2,1.5414,1.5414,1,standardized_subsamples,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,13,0,0,0,7,352,0,0,3,7,0,0,0,0,0,0,6,0,0,0,0,3,0,8,0,0,0,0,7,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,3,4,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,11,0,0,0,36,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
Galon_40,1,1.8122,1.8122,1,standardized_subsamples,0,1,0,0,0,0,0,4,0,7,0,0,0,0,4,4,0,9,0,0,0,6,3,6,0,0,1,0,0,0,0,7,2,14,14,0,0,0,0,0,1,0,0,3,3,11,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,1,3,28,0,0,0,0,0,4,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,80,35,19,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,5,0,3,0,0,18,22,10,0,0,3,12,0,0,0,2,0,0,0,0,0,0,0
Galon_40,2,1.8122,1.8122,1,standardized_subsamples,0,7,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,41,0,0,0,11,8,0,72,0,0,2,0,1,0,5,0,12,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,3,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,10,0,0,5,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,7,15,1,3,0,0,3,0,60,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,21,0,21,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,21,0,0,3,0,1,0,0,15,14,24,0,1,46,19,7,0,1,0,0,0,0,0,1,0,0
Galon_40,3,1.8122,1.8122,1,standardized_subsamples,0,2,0,0,0,1,0,9,0,0,0,0,0,0,0,1,0,27,0,0,0,6,30,0,83,4,4,0,2,0,0,8,0,15,2,1,1,0,0,0,0,0,0,0,2,52,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,10,0,0,0,0,0,7,0,5,0,1,0,0,0,17,0,0,0,0,2,0,0,8,20,0,0,0,0,7,0,16,0,0,0,1,0,1,0,8,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,36,0,68,0,1,1,2,0,0,0,0,0,0,6,0,0,0,36,18,7,0,7,0,1,0,18,0,0,30,0,1,0,0,3,3,16,4,0,7,9,10,0,0,0,0,0,0,0,0,0,0
Galon_53,1,2.1275,2.1275,1,standardized_subsamples,0,0,0,0,0,0,0,38,0,0,0,0,0,0,4,0,0,17,0,0,0,1,320,0,0,0,0,0,0,0,0,0,0,0,3,0,0,15,0,0,0,2,0,0,0,0,1,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,51,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,36,0,7,0,0,0,0,0,0,6,2,0,0,0,0,0,0,42,0,0,0,0,2,5,0,7,0,0,9,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Galon_53,2,2.1275,2.1275,1,standardized_subsamples,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,35,1,0,0,3,375,15,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,21,0,53,0,0,0,0,0,0,0,0,0,2,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,53,0,95,0,0,0,0,0,0,15,1,0,0,0,0,0,0,21,0,0,0,0,0,0,0,17,0,0,2,0,0,0,0,0,0,0,12,0,0,0,16,11,0,0,0,0,0,0,0,0,2,0,0
Galon_53,3,2.1275,2.1275,1,standardized_subsamples,0,0,0,0,0,0,0,24,0,0,0,0,0,0,107,0,0,5,0,0,0,0,259,0,19,2,300,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,25,0,0,0,2,0,0,0,1,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,2,0,16,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,18,0,11,0,0,0,0,0,0,25,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
